symbol	panels	version
AGO2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
AGPS	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1
AGRN	MMG,MYAC	MMG_v1,MYAC_v1
AGT	POLYM	POLYM_v1
AGTR1	POLYM	POLYM_v1
AGXT	POLYM,RGDI+	POLYM_v1,RGDI+_v1
AHCY	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
AHDC1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
AHI1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
AIFM1	MITN,POLYM,RGDI,RGDI+	MITN_v1,POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
AIMP1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
AIMP2	RGDI+	RGDI+_v1
AIPL1	POLYM,RGDI+	POLYM_v1,RGDI+_v1
AIRE	POLYM,RGDI+	POLYM_v1,RGDI+_v1
AK2	POLYM,RGDI+	POLYM_v1,RGDI+_v1
AKR1D1	POLYM,RGDI+	POLYM_v1,RGDI+_v1
AKT1	POLYM,RGDI+	POLYM_v1,RGDI+_v1
AKT3	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ALAD	POLYM,RGDI+	POLYM_v1,RGDI+_v1
ALAS2	POLYM	POLYM_v1
ALDH18A1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ALDH1A3	POLYM	POLYM_v1
ALDH3A2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ALDH4A1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ALDH5A1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ALDH6A1	POLYM	POLYM_v1
ALDH7A1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ALDOA	POLYM,RGDI+	POLYM_v1,RGDI+_v1
ALDOB	POLYM	POLYM_v1
ALG1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ALG11	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ALG12	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ALG13	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ALG14	POLYM,RGDI+	POLYM_v1,RGDI+_v1
ALG3	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ALG6	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ALG8	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ALG9	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
ALKBH8	RGDI,RGDI+	RGDI+_v1,RGDI_v1
ALMS1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ALPL	POLYM,RGDI+	POLYM_v1,RGDI+_v1
ALS2	POLYM	POLYM_v1
ALX1	POLYM	POLYM_v1
ALX3	POLYM,RGDI+	POLYM_v1,RGDI+_v1
ALX4	POLYM	POLYM_v1
AMACR	POLYM	POLYM_v1
AMER1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
AMN	POLYM	POLYM_v1
AMPD2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
AMT	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ANAPC1	POLYM	POLYM_v1
ANK2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
ANK3	RGDI+	RGDI+_v1
ANKH	POLYM,RGDI	POLYM_v1,RGDI_v1
ANKRD11	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ANKRD17	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
ANKS6	POLYM	POLYM_v1
ANO10	MITN,POLYM	MITN_v1,POLYM_v1
ANO5	DYSM,MMG,POLYM,RGDI+,RHAB	DYSM_v1,MMG_v1,POLYM_v1,RGDI+_v1,RHAB_v1
ANOS1	POLYM	POLYM_v1
ANTXR1	POLYM,RGDI+	POLYM_v1,RGDI+_v1
ANTXR2	POLYM	POLYM_v1
AP1B1	RGDI+	RGDI+_v1
AP1G1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
AP1S1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
AP1S2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
AP2M1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
AP2S1	RGDI+	RGDI+_v1
AP3B1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
AP3B2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
AP4B1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
AP4E1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
AP4M1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
AP4S1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
APC2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
APOA1	POLYM	POLYM_v1
APOA5	POLYM	POLYM_v1
APOB	POLYM	POLYM_v1
APOC2	POLYM	POLYM_v1
APOE	POLYM	POLYM_v1
APRT	POLYM	POLYM_v1
APTX	MITN,POLYM	MITN_v1,POLYM_v1
AR	POLYM	POLYM_v1
ARCN1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ARF1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
ARF3	RGDI+	RGDI+_v1
ARFGEF1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
ARFGEF2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ARG1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ARHGAP31	POLYM	POLYM_v1
ARHGAP35	RGDI+	RGDI+_v1
ARHGEF9	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ARID1A	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ARID1B	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ARID2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ARL13B	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ARL14EP	RGDI+	RGDI+_v1
ARL6	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ARMC4	POLYM,RGDI+	POLYM_v1,RGDI+_v1
ARMC9	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ARSA	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ARSB	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ARSL	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ARV1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ARX	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ASAH1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ASCC1	POLYM	POLYM_v1
ASCC3	RGDI+	RGDI+_v1
ASH1L	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ASL	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ASNS	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ASPA	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ASPM	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ASS1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ASTN1	RGDI+	RGDI+_v1
ASXL1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ASXL2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ASXL3	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ATAD1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
ATAD3A	MITN,POLYM,RGDI,RGDI+	MITN_v1,POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ATG7	RGDI+	RGDI+_v1
ATIC	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ATL1	RGDI	RGDI_v1
ATM	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ATN1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ATP11A	RGDI+	RGDI+_v1
